sex,length (mm),diameter (mm),height (mm),whole_weight (g),shucked_weight (g),viscera_weight (g),shell_weight (g),rings
F,134.0,108.0,39.0,323.8,148.0,66.1,93.0,11
M,135.0,105.0,32.0,256.7,114.4,55.1,70.9,13
F,135.0,102.0,39.0,276.4,120.9,63.5,79.3,10
M,136.0,104.0,39.0,290.7,118.4,78.2,82.5,10
F,136.0,102.0,40.0,321.5,142.8,67.8,94.1,11
M,137.0,104.0,30.0,274.7,143.7,58.6,64.0,11
F,137.0,113.0,35.0,327.6,155.5,75.0,87.6,11
F,138.0,110.0,40.0,313.8,137.4,73.5,92.0,12
M,140.0,113.0,35.0,371.3,168.9,78.7,108.0,10
F,140.0,107.0,35.0,354.6,136.1,96.0,102.4,15
F,141.0,109.0,34.0,316.0,128.7,91.3,53.0,11
M,142.0,115.0,43.0,401.8,197.9,89.5,100.4,11
F,142.0,114.0,39.0,396.1,198.5,98.5,96.0,12
F,142.0,108.0,41.0,316.1,160.4,57.4,87.0,10
M,142.0,112.0,44.0,403.0,184.3,90.8,113.2,11
M,144.0,114.0,40.0,365.5,183.8,73.2,97.0,10
M,144.0,110.0,41.0,425.0,229.1,88.5,102.2,13
F,144.0,105.0,36.0,289.0,126.2,64.3,87.0,7
F,145.0,113.0,42.0,428.5,206.0,97.4,100.6,14
F,146.0,112.0,38.0,388.5,159.8,103.9,113.1,11
M,147.0,118.0,43.0,349.4,145.5,80.6,111.4,11
F,148.0,113.0,41.0,423.8,193.1,103.7,96.4,12
F,150.0,113.0,43.0,387.6,154.7,96.5,115.0,11
M,150.0,119.0,41.0,444.1,216.6,84.2,126.0,12
M,154.0,124.0,39.0,503.1,223.1,128.3,128.4,12
M,155.0,126.0,50.0,555.9,269.7,152.0,115.6,12
I,55.0,35.0,18.0,46.3,19.2,11.4,14.1,5
I,75.0,49.0,20.0,78.8,33.2,18.2,22.5,6
F,75.0,54.0,27.0,119.4,54.4,26.2,33.5,7
M,78.0,56.0,25.0,112.8,60.7,19.1,28.6,7
I,87.0,60.0,24.0,119.3,51.8,27.8,32.9,8
M,89.0,64.0,24.0,82.8,39.8,18.0,23.4,7
I,91.0,67.0,21.0,84.4,45.8,17.3,20.0,6
I,91.0,65.0,27.0,164.0,80.1,34.3,42.2,8
I,91.0,69.0,22.0,86.8,41.4,17.1,24.3,8
I,93.0,65.0,28.0,152.3,72.4,30.7,41.8,10
M,93.0,72.0,23.0,115.9,59.0,27.9,24.0,7
I,97.0,73.0,21.0,104.1,39.0,24.6,36.4,8
M,97.0,74.0,31.0,193.6,83.8,49.1,47.3,9
I,97.0,69.0,32.0,173.8,61.7,37.0,63.8,9
F,98.0,71.0,32.0,175.9,69.7,43.0,56.5,8
M,100.0,74.0,30.0,212.3,98.8,44.6,59.2,9
M,103.0,70.0,31.0,184.5,83.7,39.6,54.6,9
M,103.0,79.0,27.0,201.4,94.4,49.9,50.4,8
M,105.0,73.0,34.0,192.1,87.6,44.5,55.2,10
M,105.0,76.0,25.0,130.0,60.6,31.0,31.8,7
M,106.0,82.0,28.0,150.9,69.9,34.3,42.1,8
F,107.0,85.0,27.0,154.2,75.3,36.3,35.9,8
I,107.0,77.0,36.0,216.7,99.1,45.9,60.8,8
I,109.0,84.0,33.0,178.7,84.7,43.9,45.6,8
F,109.0,83.0,40.0,271.6,113.4,63.6,80.6,10
F,109.0,77.0,30.0,223.7,108.5,48.9,56.9,9
F,110.0,76.0,33.0,241.0,108.6,58.8,66.9,10
M,110.0,84.0,32.0,268.1,126.5,62.2,68.8,10
M,114.0,91.0,35.0,204.0,96.1,42.9,58.0,9
M,115.0,88.0,37.0,205.0,101.5,44.9,49.7,10
I,115.0,90.0,26.0,162.9,80.6,34.3,42.6,10
F,116.0,86.0,34.0,296.0,130.7,64.8,83.1,10
M,117.0,91.0,29.0,190.6,78.9,53.7,51.6,10
I,117.0,90.0,30.0,178.3,79.5,40.7,50.6,8
M,120.0,99.0,35.0,260.1,123.9,56.8,65.7,11
M,120.0,93.0,33.0,207.6,99.5,44.1,50.2,9
M,121.0,95.0,35.0,250.5,111.5,61.1,68.6,9
M,121.0,95.0,30.0,230.0,115.0,46.4,59.4,10
F,122.0,95.0,30.0,222.7,103.9,51.5,60.1,11
F,123.0,91.0,29.0,223.1,100.9,47.6,63.0,10
M,124.0,94.0,29.0,217.3,102.2,54.3,51.3,10
M,125.0,99.0,35.0,250.8,116.3,57.2,63.7,9
M,125.0,98.0,37.0,233.8,105.5,50.7,68.8,11
M,127.0,99.0,39.0,234.4,89.0,62.3,69.5,11
F,127.0,95.0,30.0,236.9,106.6,61.4,58.2,10
F,128.0,95.0,28.0,214.5,97.9,45.9,62.0,8
M,129.0,100.0,32.0,276.3,134.4,65.2,63.0,9
M,130.0,105.0,38.0,322.5,155.4,73.7,79.3,11
M,130.0,97.0,32.0,347.9,114.3,55.7,61.5,10
F,131.0,104.0,40.0,309.5,142.6,62.8,93.2,9
M,131.0,109.0,38.0,284.9,126.5,66.6,75.6,10
F,133.0,103.0,37.0,268.1,111.9,58.6,87.5,11
F,135.0,106.0,35.0,289.3,135.5,66.0,77.8,10
F,137.0,107.0,35.0,316.9,143.5,75.5,84.3,9
F,139.0,110.0,37.0,335.8,161.0,80.3,79.3,10
M,139.0,106.0,38.0,345.2,152.5,87.2,91.0,11
F,141.0,109.0,36.0,307.9,121.5,73.5,92.9,13
F,144.0,110.0,39.0,414.6,214.3,85.3,100.3,9
M,144.0,112.0,36.0,317.3,138.2,75.0,88.5,11
M,146.0,115.0,42.0,413.8,185.7,81.8,128.6,11
I,37.0,27.0,8.0,5.4,2.1,1.1,1.8,5
I,48.0,36.0,11.0,11.1,4.7,2.6,3.6,4
I,62.0,43.0,15.0,25.5,11.3,5.5,7.2,7
I,68.0,52.0,17.0,37.7,16.3,6.7,12.0,6
I,70.0,53.0,16.0,40.0,18.0,8.4,12.0,7
I,73.0,54.0,17.0,39.4,16.3,6.5,13.0,6
I,73.0,55.0,17.0,44.6,19.6,7.5,15.0,7
I,73.0,54.0,15.0,44.3,19.0,8.9,14.0,6
I,78.0,62.0,21.0,53.3,23.7,10.5,16.2,8
I,81.0,60.0,18.0,53.8,20.6,13.4,22.0,6
I,82.0,63.0,19.0,56.1,22.8,6.9,22.0,7
I,82.0,67.0,21.0,66.1,28.1,12.8,21.0,7
I,83.0,62.0,18.0,56.3,24.9,12.3,17.0,6
I,83.0,62.0,20.0,56.1,22.8,11.3,19.5,6
I,83.0,62.0,19.0,62.2,22.5,12.5,23.0,8
I,84.0,65.0,20.0,73.6,33.5,12.5,22.7,11
I,86.0,68.0,20.0,68.1,27.9,13.3,24.0,8
I,87.0,67.0,20.0,64.9,27.0,15.7,19.6,7
I,87.0,66.0,22.0,76.0,30.3,18.9,22.0,7
I,87.0,66.0,21.0,67.0,31.2,11.1,21.0,8
I,87.0,69.0,24.0,64.3,26.0,11.2,23.7,7
I,89.0,66.0,22.0,71.6,30.5,13.4,23.7,8
I,93.0,74.0,22.0,89.0,32.7,19.2,33.2,7
I,94.0,75.0,24.0,97.4,39.2,19.8,27.0,8
I,95.0,68.0,21.0,90.7,40.6,16.0,29.3,9
I,97.0,77.0,26.0,113.6,50.1,35.6,30.8,7
I,97.0,72.0,24.0,103.1,49.3,20.5,29.4,8
I,97.0,74.0,23.0,91.4,37.7,19.3,30.0,9
I,99.0,76.0,27.0,101.9,41.3,23.3,33.0,8
I,99.0,76.0,29.0,100.0,41.0,29.6,30.1,8
I,99.0,75.0,28.0,98.8,36.2,19.5,38.2,8
I,100.0,76.0,22.0,112.1,56.0,21.2,30.0,9
I,101.0,81.0,26.0,119.8,44.9,23.5,45.0,11
I,101.0,80.0,29.0,140.9,66.8,28.5,41.4,8
F,102.0,80.0,24.0,140.1,69.4,22.1,39.0,10
I,103.0,83.0,27.0,142.5,57.0,30.4,49.0,10
I,103.0,84.0,30.0,134.5,51.1,26.7,47.0,10
M,103.0,77.0,22.0,115.7,50.6,32.0,28.0,8
I,104.0,82.0,22.0,103.7,43.3,18.3,36.8,8
I,104.0,83.0,28.0,127.5,61.6,26.7,33.6,9
I,104.0,79.0,25.0,116.1,48.9,29.2,33.0,9
I,104.0,76.0,23.0,132.9,65.7,34.0,28.5,7
I,104.0,77.0,23.0,116.2,51.1,31.2,28.6,10
I,105.0,83.0,24.0,119.2,56.1,24.0,33.9,9
I,105.0,81.0,29.0,139.3,60.9,30.7,42.0,8
I,105.0,80.0,29.0,121.9,49.6,31.8,35.0,9
I,106.0,86.0,28.0,135.4,59.6,19.3,46.0,8
I,106.0,86.0,32.0,144.9,64.2,25.5,48.0,9
I,106.0,79.0,26.0,115.0,49.4,23.0,36.6,9
I,106.0,81.0,24.0,126.4,54.3,29.6,37.5,9
I,107.0,91.0,28.0,200.3,106.0,35.3,48.8,9
F,108.0,85.0,32.0,189.1,73.5,40.1,59.0,9
I,108.0,79.0,27.0,131.1,54.1,31.0,38.4,9
I,108.0,78.0,25.0,125.1,50.5,31.6,38.0,8
I,109.0,85.0,28.0,162.9,61.0,46.2,48.8,10
I,109.0,86.0,28.0,137.4,52.3,28.1,50.0,9
I,110.0,87.0,28.0,159.9,59.0,38.1,47.6,10
I,110.0,90.0,26.0,160.8,67.5,28.1,46.0,6
M,111.0,87.0,28.0,149.9,68.2,32.9,42.8,8
M,111.0,82.0,25.0,119.8,46.9,29.3,38.8,8
M,111.0,80.0,26.0,141.5,66.4,31.7,36.0,7
I,111.0,90.0,35.0,147.6,60.8,35.1,44.0,9
M,111.0,91.0,27.0,167.4,76.4,34.2,47.0,9
I,112.0,89.0,33.0,166.4,69.1,35.8,55.8,9
F,113.0,89.0,25.0,166.1,62.7,35.7,46.0,11
M,113.0,83.0,25.0,133.4,60.4,30.9,37.0,7
M,113.0,91.0,31.0,187.1,84.2,36.6,52.0,11
I,113.0,87.0,29.0,168.9,79.5,31.6,51.0,9
M,113.0,90.0,32.0,179.0,83.0,39.0,49.2,9
I,113.0,92.0,31.0,174.3,75.1,43.0,50.0,10
M,114.0,92.0,31.0,200.1,90.8,41.0,53.0,11
M,114.0,91.0,31.0,166.4,71.7,34.8,55.4,11
M,114.0,88.0,35.0,188.3,76.1,45.7,56.6,9
M,114.0,83.0,26.0,176.0,85.5,39.1,47.6,13
F,114.0,88.0,24.0,160.6,76.4,30.5,46.8,9
M,115.0,90.0,26.0,157.0,63.6,38.6,45.3,9
M,115.0,90.0,31.0,195.3,99.0,42.9,47.0,9
M,115.0,87.0,27.0,198.4,86.4,44.5,47.8,10
M,115.0,91.0,31.0,202.6,93.7,41.7,59.0,11
M,115.0,89.0,29.0,175.2,75.9,32.3,54.0,10
F,115.0,93.0,35.0,219.8,94.7,40.4,70.0,9
I,115.0,90.0,27.0,174.3,90.0,32.4,45.0,10
I,115.0,90.0,27.0,164.9,67.5,42.3,47.8,11
F,115.0,86.0,31.0,159.1,69.7,38.5,44.0,9
M,115.0,95.0,29.0,171.4,73.3,34.6,53.8,9
F,116.0,90.0,39.0,165.3,80.7,34.6,45.0,9
F,116.0,100.0,33.0,185.0,74.0,37.0,60.1,10
M,116.0,88.0,30.0,209.3,103.6,43.7,55.9,10
I,116.0,88.0,29.0,158.1,70.5,32.9,48.4,10
M,116.0,88.0,32.0,165.9,67.3,40.1,49.7,9
M,119.0,91.0,30.0,177.2,86.3,40.2,44.6,10
F,120.0,94.0,27.0,194.0,93.1,39.1,52.8,11
M,120.0,92.0,34.0,236.1,91.2,67.4,65.8,11
M,120.0,95.0,30.0,198.0,77.2,43.9,62.1,10
F,120.0,93.0,32.0,226.6,93.2,57.7,59.6,11
I,121.0,98.0,33.0,214.2,96.4,38.7,70.4,10
F,121.0,91.0,29.0,172.4,66.8,39.7,60.0,9
M,121.0,94.0,36.0,223.1,95.8,51.3,64.2,10
M,122.0,96.0,28.0,206.2,87.5,52.3,54.0,8
F,122.0,92.0,29.0,223.7,95.6,58.9,59.7,10
F,122.0,92.0,31.0,191.4,85.1,39.5,53.0,8
F,122.0,94.0,33.0,235.7,113.2,55.7,58.8,11
M,123.0,94.0,29.0,205.7,88.7,56.5,57.0,11
M,123.0,94.0,30.0,217.5,99.5,56.6,53.7,9
F,123.0,99.0,32.0,251.0,116.3,63.9,64.5,12
M,123.0,99.0,40.0,243.8,112.8,45.4,77.7,10
M,124.0,98.0,32.0,207.0,88.0,50.5,57.0,11
M,124.0,98.0,30.0,239.0,92.1,60.4,71.0,9
F,124.0,99.0,34.0,212.4,74.4,42.6,68.0,11
M,124.0,99.0,39.0,302.9,115.8,69.2,103.9,15
M,124.0,94.0,30.0,261.8,117.4,88.1,65.0,9
M,124.0,97.0,31.0,205.9,85.0,46.3,67.0,12
M,125.0,99.0,31.0,209.7,97.4,42.4,64.3,11
M,125.0,103.0,34.0,266.2,114.5,60.1,72.2,9
M,125.0,101.0,37.0,231.3,104.0,48.1,70.7,10
F,125.0,89.0,32.0,218.0,92.0,59.3,60.8,11
F,125.0,104.0,36.0,270.8,96.9,70.2,75.0,11
F,125.0,94.0,29.0,196.8,95.0,40.0,53.0,11
M,126.0,98.0,31.0,250.5,126.0,49.2,57.8,9
F,127.0,97.0,33.0,253.9,112.7,61.3,67.9,11
F,127.0,104.0,33.0,268.1,101.3,59.2,82.4,11
F,127.0,101.0,31.0,257.9,118.8,62.8,69.0,11
M,127.0,105.0,32.0,239.0,108.7,49.2,67.0,12
M,127.0,100.0,33.0,254.6,130.7,42.6,73.0,12
M,127.0,103.0,33.0,245.8,101.1,59.5,70.7,10
M,128.0,106.0,33.0,237.9,95.3,60.0,70.0,11
F,128.0,96.0,29.0,222.9,101.6,48.0,68.0,10
F,128.0,103.0,33.0,262.3,98.9,51.1,82.0,10
I,128.0,98.0,27.0,220.0,97.6,50.1,58.5,10
M,128.0,98.0,31.0,225.7,95.4,53.8,68.0,9
F,128.0,97.0,37.0,283.9,134.7,69.3,65.1,11
F,129.0,102.0,36.0,323.9,156.3,64.4,93.5,12
M,129.0,98.0,35.0,264.0,130.5,47.5,67.7,11
F,129.0,104.0,42.0,310.7,123.2,73.1,94.8,16
I,130.0,104.0,30.0,247.6,109.9,59.2,66.1,10
F,130.0,102.0,31.0,237.8,96.6,55.6,72.9,13
F,130.0,102.0,37.0,275.0,106.2,76.8,79.7,10
F,131.0,103.0,36.0,282.4,123.9,49.7,99.4,11
F,131.0,105.0,35.0,269.6,117.1,52.1,78.8,10
M,131.0,104.0,34.0,228.9,106.0,44.6,69.6,9
F,132.0,107.0,41.0,288.3,118.5,55.5,98.0,10
M,132.0,102.0,35.0,243.6,101.1,60.6,74.0,11
F,133.0,100.0,30.0,249.5,92.5,59.1,71.9,10
M,133.0,103.0,40.0,253.9,102.3,53.5,87.2,12
M,133.0,105.0,36.0,285.8,134.3,58.0,80.0,12
F,134.0,106.0,41.0,280.3,128.6,49.3,83.2,12
M,135.0,103.0,30.0,262.4,111.2,56.9,82.3,11
F,135.0,102.0,37.0,294.6,125.9,60.5,84.9,11
M,136.0,108.0,38.0,324.6,143.3,70.8,94.3,12
M,136.0,108.0,31.0,306.8,134.2,75.8,76.8,10
M,137.0,107.0,31.0,276.9,132.3,42.9,81.5,10
M,138.0,110.0,36.0,338.3,133.1,80.4,100.0,11
M,139.0,109.0,37.0,314.3,132.9,76.7,90.1,13
F,140.0,115.0,41.0,354.6,121.0,89.4,107.6,13
M,140.0,110.0,35.0,288.1,131.3,59.7,75.0,12
M,140.0,110.0,39.0,324.9,135.0,69.4,107.0,13
F,141.0,107.0,44.0,373.2,185.8,76.7,87.9,10
F,144.0,115.0,36.0,334.1,146.4,72.1,100.2,12
M,144.0,113.0,38.0,416.2,216.3,86.1,100.6,11
F,145.0,114.0,41.0,323.9,148.8,63.0,97.6,11
F,150.0,110.0,39.0,366.5,166.0,73.2,88.0,11
M,152.0,121.0,43.0,434.6,160.2,98.3,129.2,13
I,27.0,26.0,8.0,5.8,2.5,1.3,1.6,4
I,32.0,22.0,5.0,3.9,1.5,1.0,1.2,4
I,42.0,30.0,11.0,9.3,3.4,2.4,3.0,5
I,56.0,42.0,15.0,23.9,10.6,5.3,6.0,6
I,56.0,40.0,13.0,17.9,7.2,3.7,6.0,7
I,57.0,43.0,12.0,18.7,6.2,4.6,6.0,6
I,58.0,42.0,14.0,22.3,9.6,4.1,6.0,5
I,58.0,42.0,12.0,23.9,11.2,4.7,6.0,6
I,58.0,42.0,13.0,19.4,7.5,4.4,6.0,6
I,64.0,48.0,14.0,26.6,11.7,5.1,8.2,6
I,65.0,50.0,14.0,34.9,17.5,7.1,8.0,7
I,67.0,50.0,16.0,33.9,13.9,8.8,9.9,6
I,70.0,47.0,16.0,34.0,14.5,9.3,9.9,7
I,70.0,50.0,14.0,32.1,14.3,6.7,9.2,6
I,71.0,54.0,21.0,54.2,28.5,10.5,14.7,9
I,72.0,54.0,17.0,43.7,21.3,7.6,12.4,6
I,72.0,54.0,17.0,39.2,18.1,6.8,10.6,7
I,75.0,56.0,16.0,45.2,21.0,9.4,13.0,6
I,75.0,55.0,17.0,44.0,21.8,10.0,12.1,7
I,79.0,58.0,19.0,60.0,31.6,13.6,15.6,7
I,81.0,50.0,18.0,57.5,25.6,12.6,16.1,7
I,83.0,65.0,22.0,63.2,27.7,15.9,18.5,8
I,85.0,63.0,19.0,73.5,37.3,13.5,19.7,7
I,86.0,64.0,22.0,73.5,33.5,20.4,21.0,8
I,87.0,65.0,24.0,69.2,31.8,16.8,19.0,7
M,90.0,66.0,21.0,99.1,51.5,16.4,25.8,8
I,92.0,70.0,22.0,93.5,42.5,19.8,27.5,7
M,94.0,73.0,27.0,104.4,47.9,30.5,29.0,10
I,94.0,75.0,21.0,88.2,33.4,17.3,29.0,10
I,95.0,73.0,24.0,103.7,53.6,21.9,27.3,8
M,101.0,78.0,24.0,130.6,66.3,27.7,33.4,9
M,101.0,79.0,27.0,118.3,57.6,26.3,37.0,12
M,101.0,77.0,23.0,96.5,42.0,20.7,30.7,10
I,102.0,91.0,27.0,137.1,57.5,30.8,40.7,9
M,103.0,80.0,28.0,126.7,57.6,29.0,33.6,9
M,105.0,82.0,26.0,137.5,68.7,29.9,35.3,9
F,106.0,86.0,30.0,148.2,65.0,37.1,39.2,9
F,106.0,81.0,26.0,127.1,52.7,31.3,37.0,9
M,109.0,88.0,28.0,167.9,71.2,38.1,47.7,11
F,110.0,94.0,30.0,184.1,76.2,48.7,53.5,10
F,112.0,82.0,32.0,164.3,68.4,36.8,50.6,9
M,113.0,89.0,29.0,185.1,86.9,42.4,49.5,9
F,114.0,87.0,30.0,165.9,77.5,31.2,49.0,10
M,116.0,92.0,32.0,212.6,102.6,54.1,52.5,9
M,118.0,93.0,33.0,223.0,103.3,54.6,55.0,10
F,120.0,90.0,28.0,167.4,74.0,35.4,48.5,10
M,121.0,89.0,28.0,196.4,85.9,41.7,59.0,12
M,122.0,98.0,32.0,222.4,93.0,45.6,68.2,10
F,125.0,103.0,36.0,269.7,105.1,50.4,78.5,14
M,132.0,103.0,39.0,313.1,146.9,70.6,77.2,9
I,51.0,38.0,12.0,17.2,8.0,3.7,5.0,5
I,54.0,39.0,13.0,21.3,9.5,4.5,5.7,5
I,56.0,43.0,16.0,26.4,14.4,4.4,6.6,5
I,57.0,43.0,14.0,21.5,10.2,4.5,5.4,6
I,64.0,51.0,17.0,34.9,14.4,6.6,11.4,8
I,65.0,48.0,14.0,30.4,11.3,6.1,10.8,8
I,77.0,56.0,20.0,55.1,26.1,12.2,14.5,8
I,79.0,59.0,20.0,58.6,28.0,12.4,16.4,7
F,80.0,61.0,32.0,73.6,34.6,14.1,21.0,7
I,81.0,62.0,18.0,62.4,27.6,12.0,17.4,8
I,83.0,61.0,24.0,67.2,33.0,15.2,16.1,7
I,84.0,63.0,23.0,71.0,37.9,13.0,17.4,6
I,88.0,61.0,23.0,75.8,32.4,18.2,22.0,9
I,89.0,64.0,24.0,75.6,30.4,16.5,24.0,8
M,90.0,70.0,26.0,93.1,41.5,20.9,27.0,8
F,91.0,71.0,226.0,118.8,66.4,23.2,26.7,8
M,92.0,69.0,24.0,98.7,48.7,23.5,26.4,8
M,92.0,69.0,22.0,91.9,47.0,17.7,23.2,7
M,93.0,72.0,22.0,99.1,53.3,17.0,24.2,7
I,93.0,71.0,18.0,86.5,40.1,14.8,25.5,9
F,95.0,76.0,28.0,137.8,63.3,26.3,39.1,7
I,96.0,70.0,27.0,109.3,54.7,19.9,31.6,8
M,97.0,78.0,27.0,123.4,50.0,26.9,32.7,8
I,98.0,74.0,22.0,107.6,54.2,20.7,27.8,8
M,100.0,78.0,27.0,156.3,72.2,31.5,47.7,9
F,100.0,76.0,28.0,127.1,55.4,28.6,35.7,8
M,101.0,77.0,26.0,128.7,62.7,29.8,30.3,7
M,105.0,77.0,20.0,102.3,49.2,20.1,29.1,8
M,107.0,84.0,25.0,147.6,71.0,37.9,35.9,8
F,107.0,84.0,26.0,139.8,62.5,31.3,40.7,8
F,108.0,77.0,28.0,153.1,65.3,23.2,47.3,10
F,108.0,84.0,26.0,150.1,73.6,33.5,36.9,9
F,109.0,86.0,32.0,168.8,78.9,37.1,46.2,9
M,110.0,82.0,26.0,174.1,89.1,42.3,42.6,9
I,110.0,84.0,23.0,133.6,58.5,27.4,41.8,11
F,113.0,88.0,27.0,166.0,78.6,34.7,47.6,9
M,116.0,90.0,24.0,173.7,83.6,29.5,52.1,8
F,116.0,87.0,30.0,167.8,69.7,41.4,38.4,7
F,117.0,97.0,30.0,215.8,82.9,42.3,71.2,11
M,119.0,93.0,30.0,183.8,86.7,35.3,52.4,9
F,120.0,94.0,38.0,226.9,98.4,51.9,67.5,10
F,122.0,86.0,28.0,181.8,87.6,40.0,44.0,8
M,122.0,96.0,33.0,248.7,111.5,53.5,74.4,8
F,124.0,98.0,32.0,211.2,98.6,48.8,54.5,9
M,129.0,99.0,30.0,241.9,120.6,44.5,67.8,9
M,130.0,100.0,28.0,247.6,123.3,47.1,64.0,8
F,133.0,105.0,42.0,328.8,163.6,67.9,85.5,10
M,137.0,110.0,40.0,354.5,162.6,77.4,98.0,11
F,138.0,108.0,39.0,250.5,146.0,79.5,92.4,12
F,141.0,114.0,37.0,352.2,149.4,74.5,97.6,10
F,142.0,100.0,30.0,263.3,136.7,56.3,56.0,10
M,144.0,117.0,44.0,382.8,183.1,89.6,95.8,11
F,144.0,115.0,43.0,420.0,171.3,96.5,120.4,12
F,146.0,111.0,36.0,337.9,131.1,39.3,98.7,10
M,155.0,114.0,44.0,406.4,147.0,95.1,131.7,17
F,101.0,78.0,23.0,132.0,60.9,31.1,35.0,8
M,106.0,85.0,26.0,149.1,59.9,27.1,49.0,10
F,101.0,77.0,23.0,123.2,48.6,21.5,42.0,11
I,81.0,61.0,18.0,56.5,22.8,11.5,19.0,7
M,83.0,60.0,20.0,67.1,30.9,13.7,19.0,7
M,100.0,78.0,29.0,130.2,54.6,26.4,44.0,11
M,85.0,66.0,16.0,72.2,26.8,16.5,25.0,7
M,94.0,70.0,20.0,95.5,37.7,17.7,35.0,8
F,80.0,62.0,23.0,69.3,29.5,13.9,23.0,10
I,74.0,58.0,20.0,50.0,20.5,10.1,17.0,10
M,100.0,76.0,31.0,132.0,53.1,27.3,43.0,19
I,82.0,62.0,22.0,63.0,24.8,16.4,19.0,9
M,75.0,58.0,20.0,55.2,23.5,11.3,17.0,9
F,98.0,77.0,25.0,107.9,43.5,25.6,33.0,11
M,117.0,96.0,37.0,208.0,86.8,53.0,57.0,10
M,119.0,91.0,31.0,208.2,83.2,42.1,73.0,14
F,135.0,110.0,36.0,337.7,112.4,74.1,120.0,15
M,133.0,107.0,45.0,436.7,150.7,78.2,177.0,27
M,124.0,98.0,34.0,242.1,103.7,51.1,67.0,13
I,65.0,50.0,11.0,33.2,15.2,10.2,9.0,5
I,91.0,71.0,16.0,90.4,43.3,19.9,25.0,9
M,105.0,81.0,26.0,143.7,65.3,39.5,35.0,8
I,77.0,58.0,18.0,46.4,17.1,9.9,16.0,7
I,26.0,19.0,7.0,2.1,1.0,1.3,0.7,4
I,36.0,26.0,9.0,5.5,2.5,2.0,1.8,3
I,62.0,45.0,10.0,28.9,13.5,7.7,9.0,6
F,75.0,58.0,16.0,56.4,28.1,14.5,16.0,7
F,96.0,76.0,24.0,121.6,54.1,28.1,37.0,8
I,91.0,74.0,25.0,86.6,40.2,25.3,29.0,9
M,85.0,65.0,20.0,65.9,27.3,14.5,22.0,7
I,95.0,72.0,22.0,91.1,35.4,19.3,29.0,9
F,87.0,70.0,24.0,91.7,38.4,20.0,26.0,11
F,58.0,42.0,15.0,55.0,22.6,13.5,7.0,6
M,77.0,59.0,19.0,67.0,29.4,18.8,18.0,7
M,94.0,75.0,23.0,85.3,33.7,15.1,30.0,8
F,100.0,80.0,25.0,115.3,47.9,25.2,37.0,10
I,80.0,62.0,20.0,25.4,21.2,14.2,17.0,7
M,124.0,102.0,35.0,230.1,87.5,45.3,80.0,12
M,119.0,94.0,30.0,178.3,71.8,42.1,49.0,12
M,117.0,91.0,28.0,194.0,92.4,37.0,59.0,9
M,64.0,48.0,16.0,36.0,16.0,7.7,11.0,6
F,104.0,82.0,25.0,139.7,58.9,32.5,43.0,10
M,88.0,70.0,22.0,91.7,40.0,17.7,26.0,9
F,88.0,66.0,23.0,80.1,28.6,22.6,24.0,8
M,113.0,85.0,20.0,142.9,61.1,33.2,36.0,12
F,112.0,85.0,25.0,186.4,72.2,42.6,67.0,9
F,118.0,91.0,35.0,193.2,78.2,49.1,62.0,10
F,114.0,93.0,36.0,199.9,81.0,55.4,59.0,16
M,136.0,106.0,41.0,299.2,116.5,67.4,93.0,14
F,90.0,72.0,25.0,101.3,44.4,21.0,32.0,10
I,64.0,48.0,15.0,34.7,15.2,7.1,10.0,7
I,92.0,70.0,22.0,78.9,33.7,17.3,25.0,9
M,94.0,74.0,21.0,93.3,40.5,20.3,31.0,10
M,91.0,70.0,21.0,80.2,31.5,16.6,27.0,9
F,83.0,65.0,23.0,69.1,28.1,15.3,22.0,9
M,93.0,70.0,24.0,104.1,40.3,32.5,37.0,11
M,92.0,75.0,27.0,98.7,37.2,16.9,34.0,12
M,83.0,62.0,18.0,64.9,26.1,14.7,23.0,8
M,54.0,39.0,14.0,21.2,9.3,3.6,7.2,7
M,89.0,71.0,22.0,88.3,36.1,20.7,30.1,10
F,149.0,117.0,38.0,393.2,168.7,87.4,117.1,18
F,80.0,60.0,23.0,60.5,26.7,9.3,18.7,8
I,56.0,40.0,15.0,24.5,10.9,2.3,7.0,5
M,110.0,88.0,27.0,175.8,73.6,41.9,53.0,10
M,116.0,92.0,33.0,245.5,94.6,39.3,87.0,16
M,122.0,100.0,33.0,254.3,98.3,37.0,98.0,12
M,124.0,99.0,35.0,361.2,128.6,65.7,145.0,17
M,112.0,84.0,39.0,161.7,60.5,35.9,57.0,14
F,128.0,102.0,40.0,278.1,122.0,66.3,82.0,12
M,138.0,110.0,40.0,369.3,146.4,94.4,114.0,19
F,143.0,113.0,48.0,439.9,144.9,93.0,177.0,17
F,142.0,113.0,39.0,363.4,157.0,98.4,98.0,11
F,110.0,94.0,30.0,179.4,75.4,36.8,58.0,9
M,75.0,61.0,18.0,64.9,27.9,11.3,19.0,5
F,122.0,90.0,32.0,227.2,82.8,62.2,60.0,9
I,76.0,56.0,17.0,54.7,23.0,12.2,17.0,6
F,74.0,55.0,17.0,48.1,20.8,10.7,14.0,5
M,67.0,47.0,17.0,30.9,13.2,6.9,9.0,6
I,33.0,23.0,3.0,2.9,1.1,0.6,1.0,4
M,57.0,42.0,15.0,23.7,11.0,5.7,8.0,7
I,38.0,26.0,6.0,5.9,3.1,3.0,2.0,6
I,43.0,30.0,6.0,7.7,2.3,1.0,2.0,5
